FIPS,County name,FiveYearAgeGroups,NetMig9500,NetMig0010,NetMig1020,Rate9500,Rate0010,Rate1020
35,Douglas,40,5178,9712,5443,0.276987269,0.360237389,0.203941332
35,Douglas,45,3504,5470,4913,0.234553852,0.213197178,0.164172739
35,Douglas,50,3001,3632,1523,0.246266207,0.164507655,0.051974412
35,Douglas,55,1487,2598,1024,0.194735464,0.151055294,0.039385353
35,Douglas,60,617,2134,-252,0.141936968,0.153547273,-0.011821021
35,Douglas,65,494,1441,-258,0.175925926,0.167130596,-0.015987926
35,Douglas,70,346,1119,-756,0.162823529,0.224158654,-0.057060966
35,Douglas,75,371,853,-420,0.27080292,0.271224165,-0.051768322
35,Douglas,80,159,773,-179,0.216326531,0.352164009,-0.041447517
35,Douglas,85,176,755,53,0.536585366,0.603517186,0.023751956
37,Eagle,0,0,-291,276,0,-0.075077399,0.081047792
37,Eagle,5,169,-98,676,0.058782609,-0.026036132,0.204129478
37,Eagle,10,-44,336,691,-0.016212233,0.101479915,0.171586062
37,Eagle,15,-105,37,407,-0.042769857,0.013041946,0.102474085
37,Eagle,20,1240,730,-111,0.310776942,0.219219219,-0.024325406
37,Eagle,25,645,2716,298,0.125096974,0.542657343,0.050895716
37,Eagle,30,182,860,1541,0.038043478,0.181856629,0.337294445
37,Eagle,35,-97,-490,1124,-0.023334135,-0.10610654,0.252840165
37,Eagle,40,23,-253,682,0.005679012,-0.057486935,0.160914917
37,Eagle,45,-160,-112,587,-0.04593741,-0.028791774,0.150322332
37,Eagle,50,163,-167,173,0.061324304,-0.045049906,0.046295813
37,Eagle,55,277,-225,134,0.168696711,-0.073170732,0.035821657
37,Eagle,60,-34,45,159,-0.034979424,0.017885533,0.043863641
37,Eagle,65,-30,44,51,-0.052631579,0.028739386,0.017478714
37,Eagle,70,-122,-106,-43,-0.359882006,-0.144021739,-0.020021754
37,Eagle,75,-55,-52,-54,-0.257009346,-0.126829268,-0.045846109
37,Eagle,80,-2,-7,-4,-0.018518519,-0.034482759,-0.00754914
37,Eagle,85,-18,4,-10,-0.391304348,0.042105263,-0.036804252
41,El Paso,0,0,1355,581,0,1.201241135,0.34846528
41,El Paso,5,455,3372,3377,0.270029674,2.119421747,1.834887795
41,El Paso,10,1191,6430,5952,0.616778871,3.429333333,3.033016351
41,El Paso,15,1243,6131,6818,0.776875,3.392916436,3.373266737
41,El Paso,20,3861,9057,12593,5.921779141,11.3071161,6.106207631
41,El Paso,25,-529,8644,8566,-0.684346701,11.79263302,3.448536968
41,El Paso,30,-722,3228,-470,-0.580385852,3.527868852,-0.214720418
41,El Paso,35,144,2411,667,0.069197501,1.867544539,0.33315608
41,El Paso,40,-781,3302,-311,-0.316707218,1.731515469,-0.166307692
41,El Paso,45,-231,1692,196,-0.116431452,0.679791081,0.101129547
41,El Paso,50,-12,1583,890,-0.007614213,0.616913484,0.384415228
41,El Paso,55,-60,961,1313,-0.060790274,0.449695835,0.482012054
41,El Paso,60,-218,893,-2185,-0.357963875,0.540556901,-0.832745326
41,El Paso,65,-188,927,-2229,-0.427272727,0.941116751,-1.077964898
41,El Paso,70,-204,804,-1778,-0.655948553,1.443447038,-1.171592795
41,El Paso,75,-176,356,-837,-0.838095238,1.075528701,-0.943271947
41,El Paso,80,357,702,-136,2.664179104,3.375,-0.293365477
41,El Paso,85,202,341,-25,2.885714286,3.186915888,-0.115662889
39,Elbert,0,0,233,312,0,0.005139177,0.00611849
39,Elbert,5,567,509,879,0.014067734,0.011234467,0.017450361
39,Elbert,10,388,598,947,0.00955265,0.013152396,0.018275285
39,Elbert,15,229,150,515,0.005880691,0.003231784,0.009756617
39,Elbert,20,-310,-1091,400,-0.008009301,-0.021994194,0.006781725
39,Elbert,25,235,-812,777,0.006118039,-0.017173554,0.013676654
39,Elbert,30,580,346,1478,0.015041494,0.008343783,0.029541144
